WEEK_DATE	MAJOR_CATEGORY_NAME	SEASONALITY_IDX
1/12/2010	B-BAGELS	1.112596502
1/19/2010	B-BAGELS	1.126153877
1/26/2010	B-BAGELS	0.994204023
2/2/2010	B-BAGELS	1.013154014
2/9/2010	B-BAGELS	1.00437302
2/16/2010	B-BAGELS	0.972729791
2/23/2010	B-BAGELS	0.958821921
3/2/2010	B-BAGELS	1.018815436
3/9/2010	B-BAGELS	0.957734991
3/16/2010	B-BAGELS	1.027682775
3/23/2010	B-BAGELS	1.006911463
3/30/2010	B-BAGELS	0.995699049
4/6/2010	B-BAGELS	0.947640296
4/13/2010	B-BAGELS	0.956236783
4/20/2010	B-BAGELS	0.926880005
4/27/2010	B-BAGELS	0.879403402
5/4/2010	B-BAGELS	0.954531801
5/11/2010	B-BAGELS	1.050310629
5/18/2010	B-BAGELS	0.991442104
5/25/2010	B-BAGELS	0.9063099
6/1/2010	B-BAGELS	0.921665647
6/8/2010	B-BAGELS	0.928624183
6/15/2010	B-BAGELS	0.95815797
6/22/2010	B-BAGELS	0.929079315
6/29/2010	B-BAGELS	0.956641698
7/6/2010	B-BAGELS	0.938241365
7/13/2010	B-BAGELS	0.950373926
7/20/2010	B-BAGELS	0.981496356
7/27/2010	B-BAGELS	0.965386677
8/3/2010	B-BAGELS	1.199986867
8/10/2010	B-BAGELS	1.110132589
8/17/2010	B-BAGELS	0.990045466
8/24/2010	B-BAGELS	0.942369473
8/31/2010	B-BAGELS	0.993935784
9/7/2010	B-BAGELS	0.954999089
9/14/2010	B-BAGELS	0.942126684
9/21/2010	B-BAGELS	1.034874785
9/28/2010	B-BAGELS	1.048786858
10/5/2010	B-BAGELS	1.064011496
10/12/2010	B-BAGELS	0.976853242
10/19/2010	B-BAGELS	1.051800429
10/26/2010	B-BAGELS	0.95847688
11/2/2010	B-BAGELS	1.03994281
11/9/2010	B-BAGELS	1.049152577
11/16/2010	B-BAGELS	1.037433565
11/23/2010	B-BAGELS	0.976887893
11/30/2010	B-BAGELS	1.0370733
12/7/2010	B-BAGELS	1.030603297
12/14/2010	B-BAGELS	1.061982719
12/21/2010	B-BAGELS	1.011294746
12/28/2010	B-BAGELS	1.050599772
1/4/2011	B-BAGELS	1.105330758
1/11/2011	B-BAGELS	1.112596502
1/18/2011	B-BAGELS	1.126153877
1/25/2011	B-BAGELS	0.994204023
2/1/2011	B-BAGELS	1.013154014
2/8/2011	B-BAGELS	1.00437302
2/15/2011	B-BAGELS	0.972729791
2/22/2011	B-BAGELS	0.958821921
3/1/2011	B-BAGELS	1.018815436
3/8/2011	B-BAGELS	0.957734991
3/15/2011	B-BAGELS	1.027682775
3/22/2011	B-BAGELS	1.006911463
3/29/2011	B-BAGELS	0.995699049
4/5/2011	B-BAGELS	0.947640296
4/12/2011	B-BAGELS	0.956236783
4/19/2011	B-BAGELS	0.926880005
4/26/2011	B-BAGELS	0.879403402
